file_id,search_term,score
MCF-7,K562,0.7303257322945691
K562,K562,0.2786010940510449
GM12878,K562,0.48657695302167175
GM12878,K562,0.5327815801929157
K562,K562,0.2583344687150846
HEK293,K562,0.4868234383178542
K562,K562,0.17144519979632067
GM12878,K562,0.5432959818968095
HEK293,K562,0.4885239699669401
GM12878,K562,0.5533378676523009
GM12878,K562,0.46552967720271643
HEK293,K562,0.4779761951133951
HEK293,K562,0.5383959094082409
K562,K562,0.337619003085603
K562,K562,0.10573285148399264
K562,K562,0.083197846911618
GM12878,K562,0.5360749137227476
HepG2,K562,0.69382576412932
GM12878,K562,0.504016745076179
HEK293,K562,0.4769416778662389
GM12878,K562,0.5405637508847216
HEK293,K562,0.4702589867528972
MCF-7,K562,0.6458906151012465
HEK293,K562,0.4953514591160772
GM12878,K562,0.44825876689778066
HeLa-S3,K562,0.6846690627338066
HepG2,K562,0.5288708740846988
HeLa-S3,K562,0.5216285447535169
HEK293,K562,0.46515268936070125
HepG2,K562,0.6282828293840856
K562,K562,0.12136284519905141
K562,K562,0.10884255956222869
K562,K562,0.22613068008313525
SK-N-SH,K562,0.6060832469287778
HEK293,K562,0.49691966657876224
MCF-7,K562,0.7510038311923382
SK-N-SH,K562,0.505914309174953
H1,K562,0.6151379553636831
HepG2,K562,0.7949893270951895
HEK293,K562,0.41360631011720683
HEK293,K562,0.5159491770619418
H1,K562,0.5025240512294895
HepG2,K562,0.7880577723559921
HepG2,K562,0.7898979935472838
MCF-7,K562,0.6618926020806879
GM12878,K562,0.5357701602244518
K562,K562,0.18340371574822745
K562,K562,0.24114083553726468
liver,K562,0.4596230083408357
K562,K562,0.25669951122545054
K562,K562,0.17399222504491177
HEK293,K562,0.4396177311364058
A549,K562,0.5919054446954188
K562,K562,0.029171293877763925
HEK293,K562,0.6751462565574049
MCF-7,K562,0.7932142068851831
K562,K562,0.030467177148668895
HepG2,K562,0.7221716629599222
K562,K562,0.024478614341947917
MCF-7,K562,0.5931531000415211
HEK293,K562,0.46931368155346015
K562,K562,0.24414201279120168
K562,K562,0.13563805284547178
HepG2,K562,0.6946855663134852
K562,K562,0.2197098409025255
MCF-7,K562,0.6983247556059204
HEK293,K562,0.43522590612182677
GM12878,K562,0.6054379713154427
H1,K562,0.5550902109210376
A549,K562,0.5767318712848155
HEK293,K562,0.4577212842675169
K562,K562,0.14582756669087296
HEK293,K562,0.45268256532586676
K562,K562,0.13961727140899677
HepG2,K562,0.8271954674604645
K562,K562,0.15471721204627664
K562,K562,0.17640422183639415
K562,K562,0.3704415496414576
H1,K562,0.5588660868547379
SK-N-SH,K562,0.5619445169423096
K562,K562,0.06387421284731296
HepG2,K562,0.6924725521092991
HepG2,K562,0.7870714155345908
K562,K562,0.2840141028337173
GM12878,K562,0.551179782420476
SK-N-SH,K562,0.5139069623071537
HepG2,K562,0.6274759274810568
MCF-7,K562,0.6954078369612
K562,K562,0.1816360658378993
HEK293,K562,0.5408152277583942
K562,K562,0.2131100066809833
K562,K562,0.034177053215281764
HeLa-S3,K562,0.5344699413555134
GM12878,K562,0.47354186402053505
K562,K562,0.0
A549,K562,0.6714291533581447
HepG2,K562,0.7631823584457309
K562,K562,0.22716249288182583
HepG2,K562,0.7368323007262936
MCF-7,K562,0.6047359669917665
GM12878,K562,0.487500407033812
MCF-7,K562,0.5290262599746303
MCF-7,K562,0.5995139057459138
K562,K562,0.24003963219390373
liver,K562,0.7755000258825633
HEK293,K562,0.4131068287426218
GM12878,K562,0.5147262184452635
K562,K562,0.06561145786700434
K562,K562,0.2352899094467989
HepG2,K562,0.6395104495379016
K562,K562,0.12657006483822647
K562,K562,0.17374405248644462
HepG2,K562,0.7067667305521801
MCF-7,K562,0.6502172058530535
SK-N-SH,K562,0.5638287369029629
K562,K562,0.03310677407964914
HepG2,K562,0.7213732313973509
HEK293,K562,0.49870278638720594
K562,K562,0.158568454568445
HepG2,K562,0.6960680537747983
HepG2,K562,0.7926109578517648
HepG2,K562,0.8210219167400914
HepG2,K562,0.7740676407357006
H1,K562,0.6111491669067326
GM12878,K562,0.5505189614941541
HepG2,K562,0.7769035126288497
MCF-7,K562,0.6675928219697767
GM12878,K562,0.5816952978886543
MCF-7,K562,0.6877085751905676
K562,K562,0.05918656494502714
GM12878,K562,0.4185522314346681
HepG2,K562,0.607620108526129
HepG2,K562,0.6778724341071787
K562,K562,0.21331616538357756
HepG2,K562,0.6882016531989767
HEK293,K562,0.477013482815756
H1,K562,0.5668508032502209
K562,K562,0.030516356033525205
HeLa-S3,K562,0.47625558426394893
HeLa-S3,K562,0.5889849671170475
HepG2,K562,0.7481504236480643
HepG2,K562,0.7620299514229261
liver,K562,0.8094492569005811
K562,K562,0.2478413363749714
MCF-7,K562,0.6502711850017318
HEK293,K562,0.48180754871839343
HepG2,K562,0.6828374757812719
HepG2,K562,0.7134938848435892
GM12878,K562,0.6334864279280565
K562,K562,0.10479661083672612
GM12878,K562,0.518217896099594
K562,K562,0.14824280592767045
HEK293,K562,0.41100767470348004
MCF-7,K562,0.5689430800037152
K562,K562,0.03065725746776815
HepG2,K562,0.630978947332689
K562,K562,0.16141588110554986
HepG2,K562,0.6305285657575923
liver,K562,0.6214577384896489
K562,K562,0.22913772153956818
MCF-7,HepG2,0.7973034076549184
K562,HepG2,0.86174662014039
GM12878,HepG2,0.9095164591970561
GM12878,HepG2,0.705810856499189
K562,HepG2,0.5581150566538438
HEK293,HepG2,0.6318983179042592
K562,HepG2,0.8443344158417461
GM12878,HepG2,0.6791827839102844
HEK293,HepG2,0.7207937004912133
GM12878,HepG2,0.8148207284694073
GM12878,HepG2,0.6898434680095737
HEK293,HepG2,0.8634263797075343
HEK293,HepG2,0.36421306249502594
K562,HepG2,0.613650902808879
K562,HepG2,0.7525662829741873
K562,HepG2,0.7835255195390489
GM12878,HepG2,0.6989438971834716
HepG2,HepG2,0.22789379717344438
GM12878,HepG2,0.5629988654977858
HEK293,HepG2,0.6777929698770715
GM12878,HepG2,0.852479273381124
HEK293,HepG2,0.6363855396632951
MCF-7,HepG2,0.7046146842680319
HEK293,HepG2,0.5440451506092303
GM12878,HepG2,0.7740268744655732
HeLa-S3,HepG2,0.6247673107335641
HepG2,HepG2,0.3170622741124184
HeLa-S3,HepG2,0.6595687282911302
HEK293,HepG2,0.7841049510444213
HepG2,HepG2,0.24924997730747067
K562,HepG2,0.5537819718188144
K562,HepG2,0.6116403228768024
K562,HepG2,0.5377476648631392
SK-N-SH,HepG2,0.6523926407473601
HEK293,HepG2,0.6678143939781445
MCF-7,HepG2,0.8214938429198608
SK-N-SH,HepG2,0.7341935839977403
H1,HepG2,0.8952211853544125
HepG2,HepG2,0.21053592884791908
HEK293,HepG2,0.8384763629015051
HEK293,HepG2,0.693772278870858
H1,HepG2,0.8477918064637822
HepG2,HepG2,0.11587170811376132
HepG2,HepG2,0.13615695140433295
MCF-7,HepG2,0.746203746940098
GM12878,HepG2,0.6863527309405033
K562,HepG2,0.717990136479437
K562,HepG2,0.8560902663000169
liver,HepG2,0.6432900099861725
K562,HepG2,0.8232381795885497
K562,HepG2,0.8482968364159218
HEK293,HepG2,0.8330735707399399
A549,HepG2,0.6619636708569414
K562,HepG2,0.6976535024989696
HEK293,HepG2,0.6944533538298976
MCF-7,HepG2,0.7287575056598079
K562,HepG2,0.6845934711165615
HepG2,HepG2,0.19056183074922606
K562,HepG2,0.6828455062294474
MCF-7,HepG2,0.5081874500363197
HEK293,HepG2,0.6417808985412241
K562,HepG2,0.8017275002157012
K562,HepG2,0.7469099739377063
HepG2,HepG2,0.23525107406731344
K562,HepG2,0.84585859934483
MCF-7,HepG2,0.6054902110171263
HEK293,HepG2,0.6630799108393444
GM12878,HepG2,0.7448823630600292
H1,HepG2,0.7182379909607377
A549,HepG2,0.6929724643455182
HEK293,HepG2,0.7542118114041043
K562,HepG2,0.8161043893499109
HEK293,HepG2,0.6654389442638924
K562,HepG2,0.7899891266764283
HepG2,HepG2,0.11041947727597001
K562,HepG2,0.8148691543676103
K562,HepG2,0.7525770897121569
K562,HepG2,0.4676587058793576
H1,HepG2,0.8228106003144247
SK-N-SH,HepG2,0.6836617858532146
K562,HepG2,0.6385031143791118
HepG2,HepG2,0.20452610445976216
HepG2,HepG2,0.18403710759097902
K562,HepG2,0.6928269307762398
GM12878,HepG2,0.6935947063189203
SK-N-SH,HepG2,0.8514319596950246
HepG2,HepG2,0.2993242706717241
MCF-7,HepG2,0.5750978104113362
K562,HepG2,0.6165258368161111
HEK293,HepG2,0.6785140672639456
K562,HepG2,0.9142876265457696
K562,HepG2,0.7091539889271505
HeLa-S3,HepG2,0.6112645153451506
GM12878,HepG2,0.7606728185473561
K562,HepG2,0.7152151940617353
A549,HepG2,0.49510338105320856
HepG2,HepG2,0.11062123637162741
K562,HepG2,0.7934473196052854
HepG2,HepG2,0.15067081708031538
MCF-7,HepG2,0.6262589722388012
GM12878,HepG2,0.8495432262329419
MCF-7,HepG2,0.8589299124351155
MCF-7,HepG2,0.6906175132632035
K562,HepG2,0.9252592128922685
liver,HepG2,0.3143331539370992
HEK293,HepG2,0.7213103103404315
GM12878,HepG2,0.6165254597688237
K562,HepG2,0.7448967948666294
K562,HepG2,0.7772197498090827
HepG2,HepG2,0.29973161894295586
K562,HepG2,0.7481616108162092
K562,HepG2,0.7976414660438256
