file_id,search_term,score,file_path
EP300 ,POLR2A,0.46227199911510136,"/project/shefflab/data/encode/ENCFF001UBU.bed.gz,EP300 "
H3K9ac ,POLR2A,0.45099903706097727,"/project/shefflab/data/encode/ENCFF304HOM.bed.gz,H3K9ac "
H3K79me2 ,POLR2A,0.4402384436782513,"/project/shefflab/data/encode/ENCFF439TNB.bed.gz,H3K79me2 "
H3K9me3 ,POLR2A,0.44919446732631124,"/project/shefflab/data/encode/ENCFF876HAH.bed.gz,H3K9me3 "
POLR2A ,POLR2A,0.4351028213476867,"/project/shefflab/data/encode/ENCFF174FQT.bed.gz,POLR2A "
H3K27me3 ,POLR2A,0.4826812411360141,"/project/shefflab/data/encode/ENCFF001WZS.bed.gz,H3K27me3 "
YY1 ,H3K27ac,0.3583581455675764,"/project/shefflab/data/encode/ENCFF603OCV.bed.gz,YY1 "
POLR2AphosphoS5 ,H3K27ac,0.5617287494601424,"/project/shefflab/data/encode/ENCFF813QDL.bed.gz,POLR2AphosphoS5 "
H3K27ac ,H3K27ac,0.19181820120987175,"/project/shefflab/data/encode/ENCFF687NGB.bed.gz,H3K27ac "
H3K27me3 ,H3K27ac,0.6441399519672393,"/project/shefflab/data/encode/ENCFF001XJI.bed.gz,H3K27me3 "
EP300 ,H3K27ac,0.7782153161411622,"/project/shefflab/data/encode/ENCFF001UBU.bed.gz,EP300 "
H3K9ac ,H3K27ac,0.6636546672542687,"/project/shefflab/data/encode/ENCFF304HOM.bed.gz,H3K9ac "
H3K79me2 ,H3K27ac,0.4770194759618946,"/project/shefflab/data/encode/ENCFF439TNB.bed.gz,H3K79me2 "
H3K9me3 ,H3K27ac,0.49676294117993897,"/project/shefflab/data/encode/ENCFF876HAH.bed.gz,H3K9me3 "
POLR2A ,H3K27ac,0.489837210936883,"/project/shefflab/data/encode/ENCFF174FQT.bed.gz,POLR2A "
H3K27me3 ,H3K27ac,0.623592025551823,"/project/shefflab/data/encode/ENCFF001WZS.bed.gz,H3K27me3 "
YY1 ,H3K9me3,0.5572547852229446,"/project/shefflab/data/encode/ENCFF603OCV.bed.gz,YY1 "
POLR2AphosphoS5 ,H3K9me3,0.5673583353076277,"/project/shefflab/data/encode/ENCFF813QDL.bed.gz,POLR2AphosphoS5 "
H3K27ac ,H3K9me3,0.5582760977295282,"/project/shefflab/data/encode/ENCFF687NGB.bed.gz,H3K27ac "
H3K27me3 ,H3K9me3,0.4546777946175355,"/project/shefflab/data/encode/ENCFF001XJI.bed.gz,H3K27me3 "
EP300 ,H3K9me3,0.5835868705504272,"/project/shefflab/data/encode/ENCFF001UBU.bed.gz,EP300 "
H3K9ac ,H3K9me3,0.6358177970775873,"/project/shefflab/data/encode/ENCFF304HOM.bed.gz,H3K9ac "
H3K79me2 ,H3K9me3,0.5674419995980802,"/project/shefflab/data/encode/ENCFF439TNB.bed.gz,H3K79me2 "
H3K9me3 ,H3K9me3,0.5533416736848165,"/project/shefflab/data/encode/ENCFF876HAH.bed.gz,H3K9me3 "
POLR2A ,H3K9me3,0.6100138847832872,"/project/shefflab/data/encode/ENCFF174FQT.bed.gz,POLR2A "
H3K27me3 ,H3K9me3,0.5443073143057566,"/project/shefflab/data/encode/ENCFF001WZS.bed.gz,H3K27me3 "
YY1 ,H3K9ac,0.5319024879486356,"/project/shefflab/data/encode/ENCFF603OCV.bed.gz,YY1 "
POLR2AphosphoS5 ,H3K9ac,0.45847212846270974,"/project/shefflab/data/encode/ENCFF813QDL.bed.gz,POLR2AphosphoS5 "
H3K27ac ,H3K9ac,0.4266235208305466,"/project/shefflab/data/encode/ENCFF687NGB.bed.gz,H3K27ac "
H3K27me3 ,H3K9ac,0.4692554488884942,"/project/shefflab/data/encode/ENCFF001XJI.bed.gz,H3K27me3 "
EP300 ,H3K9ac,0.7068464056982631,"/project/shefflab/data/encode/ENCFF001UBU.bed.gz,EP300 "
H3K9ac ,H3K9ac,0.01228858791558754,"/project/shefflab/data/encode/ENCFF304HOM.bed.gz,H3K9ac "
H3K79me2 ,H3K9ac,0.3973346006952338,"/project/shefflab/data/encode/ENCFF439TNB.bed.gz,H3K79me2 "
H3K9me3 ,H3K9ac,0.5366914708407373,"/project/shefflab/data/encode/ENCFF876HAH.bed.gz,H3K9me3 "
POLR2A ,H3K9ac,0.1383121677017185,"/project/shefflab/data/encode/ENCFF174FQT.bed.gz,POLR2A "
H3K27me3 ,H3K9ac,0.22072533017165263,"/project/shefflab/data/encode/ENCFF001WZS.bed.gz,H3K27me3 "
YY1 ,H3K79me2,0.5541975105266577,"/project/shefflab/data/encode/ENCFF603OCV.bed.gz,YY1 "
POLR2AphosphoS5 ,H3K79me2,0.7079277882725643,"/project/shefflab/data/encode/ENCFF813QDL.bed.gz,POLR2AphosphoS5 "
H3K27ac ,H3K79me2,0.6080576224032546,"/project/shefflab/data/encode/ENCFF687NGB.bed.gz,H3K27ac "
H3K27me3 ,H3K79me2,0.771587637687926,"/project/shefflab/data/encode/ENCFF001XJI.bed.gz,H3K27me3 "
EP300 ,H3K79me2,0.46163587598060835,"/project/shefflab/data/encode/ENCFF001UBU.bed.gz,EP300 "
H3K9ac ,H3K79me2,0.4802982964949947,"/project/shefflab/data/encode/ENCFF304HOM.bed.gz,H3K9ac "
H3K79me2 ,H3K79me2,0.1955420469620821,"/project/shefflab/data/encode/ENCFF439TNB.bed.gz,H3K79me2 "
H3K9me3 ,H3K79me2,0.6784605871507965,"/project/shefflab/data/encode/ENCFF876HAH.bed.gz,H3K9me3 "
POLR2A ,H3K79me2,0.47699296390788576,"/project/shefflab/data/encode/ENCFF174FQT.bed.gz,POLR2A "
H3K27me3 ,H3K79me2,0.7590539752291985,"/project/shefflab/data/encode/ENCFF001WZS.bed.gz,H3K27me3 "
